pair_choice,span,minimum_adjacent_separation,relative_eigenvalue_threshold,pair_weight_in_triple_space,pair_norm_squared,minimum_gram_eigenvalue,maximum_gram_eigenvalue,retained_rank,retained_condition_number,discarded_overlap_norm_squared
same_outer_tensors,319,20,1.0e-8,0.0034895462214729854,0.9999999999999396,0.9756894585698191,1.095430229456835,280,1.1227242641962472,0.0
same_outer_tensors,319,30,1.0e-12,4.679812870333822e-5,0.9999999999999396,0.9970815205637686,1.0097510300422472,260,1.0127065934100503,0.0
same_outer_tensors,319,30,1.0e-10,4.679812870333822e-5,0.9999999999999396,0.9970815205637686,1.0097510300422472,260,1.0127065934100503,0.0
same_outer_tensors,319,30,1.0e-8,4.679812870333822e-5,0.9999999999999396,0.9970815205637686,1.0097510300422472,260,1.0127065934100503,0.0
same_outer_tensors,319,40,1.0e-12,7.103629626754487e-7,0.9999999999999396,0.9997740939291049,1.0014326843469137,240,1.0016589651881163,0.0
same_outer_tensors,319,40,1.0e-10,7.103629626754487e-7,0.9999999999999396,0.9997740939291049,1.0014326843469137,240,1.0016589651881163,0.0
same_outer_tensors,319,40,1.0e-8,7.103629626754487e-7,0.9999999999999396,0.9997740939291049,1.0014326843469137,240,1.0016589651881163,0.0
same_outer_tensors,319,50,1.0e-12,1.638392423421823e-8,0.9999999999999396,0.9999824147092854,1.0002725609035426,220,1.000290151296652,0.0
same_outer_tensors,319,50,1.0e-10,1.638392423421823e-8,0.9999999999999396,0.9999824147092854,1.0002725609035426,220,1.000290151296652,0.0
same_outer_tensors,319,50,1.0e-8,1.638392423421823e-8,0.9999999999999396,0.9999824147092854,1.0002725609035426,220,1.000290151296652,0.0
saved_incoming_pair,80,20,1.0e-12,0.0024255062478997728,1.0000000001127747,0.975699997906266,1.0954322002212742,41,1.122714156576754,0.0
saved_incoming_pair,80,20,1.0e-10,0.0024255062478997728,1.0000000001127747,0.975699997906266,1.0954322002212742,41,1.122714156576754,0.0
saved_incoming_pair,80,20,1.0e-8,0.0024255062478997728,1.0000000001127747,0.975699997906266,1.0954322002212742,41,1.122714156576754,0.0
saved_incoming_pair,80,30,1.0e-12,0.00011333054167340749,1.0000000001127747,0.9971446520280106,1.0096753722203233,21,1.0125666022144606,0.0
saved_incoming_pair,80,30,1.0e-10,0.00011333054167340749,1.0000000001127747,0.9971446520280106,1.0096753722203233,21,1.0125666022144606,0.0
saved_incoming_pair,80,30,1.0e-8,0.00011333054167340749,1.0000000001127747,0.9971446520280106,1.0096753722203233,21,1.0125666022144606,0.0
saved_incoming_pair,80,40,1.0e-12,1.450988631144362e-6,1.0000000001127747,1.0003927383560183,1.0003927383560183,1,1.0,0.0
saved_incoming_pair,80,40,1.0e-10,1.450988631144362e-6,1.0000000001127747,1.0003927383560183,1.0003927383560183,1,1.0,0.0
saved_incoming_pair,80,40,1.0e-8,1.450988631144362e-6,1.0000000001127747,1.0003927383560183,1.0003927383560183,1,1.0,0.0
