time,left_bond,middle_bond,right_bond,mean_y,triple,connected_triple,vacuum_triple
0,72,164,232,-1.0756723183598477e-8,1.2069767524745942e-11,-2.267574518084457e-18,-5.186166987351566e-19
0,72,166,232,-1.3933167340413724e-8,4.872856025823075e-11,-8.792713917132406e-18,-5.186070592461637e-19
0,72,168,232,-1.79048971705376e-8,9.210936765869361e-11,-1.7246607359371594e-17,-5.185935670867362e-19
0,72,170,232,-2.2549484293259308e-8,7.751960362407495e-11,-2.1833454828395903e-17,-5.185747875208242e-19
0,72,172,232,-2.7264928217025164e-8,-1.1177405580533042e-10,-1.2539086885791883e-17,-5.18548761163092e-19
0,72,174,232,-3.027730245975994e-8,-5.561396490155464e-10,1.16565262210357e-17,-5.185128348313464e-19
0,72,176,232,-2.7066327888189627e-8,-1.084054146749698e-9,4.361990052375367e-17,-5.184634508828161e-19
0,72,178,232,-6.828333942808919e-9,-1.0398105655523508e-9,6.21597194113057e-17,-5.183958767421279e-19
0,72,180,232,5.5349071019327195e-8,6.152720815761644e-10,4.468911588313738e-17,-5.183038976778853e-19
0,72,182,232,2.1544424726586406e-7,4.426844273191806e-9,-1.4907461045248335e-17,-5.181794669349222e-19
0,72,184,232,5.962681097188283e-7,8.82090440908836e-9,-9.377031444835577e-17,-5.180123681760396e-19
0,72,186,232,1.460432094959129e-6,8.930826964477567e-9,-1.402998283666962e-16,-5.177899610861413e-19
0,72,188,232,3.353469929199386e-6,-1.7642604716316012e-9,-1.0636156074571113e-16,-5.174971838599616e-19
0,72,190,232,7.3721842678888875e-6,-2.5287626498208958e-8,1.537480769988435e-17,-5.171171028530852e-19
0,72,192,232,1.5642835429967352e-5,-5.076144600366278e-8,1.7232140849337443e-16,-5.16632537411796e-19
0,72,194,232,3.2125965025951126e-5,-5.18593811534303e-8,2.7369545643873686e-16,-5.160296547268013e-19
0,72,196,232,6.388620499361536e-5,-8.989620434277494e-11,2.44521100636457e-16,-5.153050322598883e-19
0,72,198,232,0.00012295140795252877,1.0523642892196455e-7,8.376854092857571e-17,-5.144786408034745e-19
0,72,200,232,0.00022879959937992258,2.0917395705402211e-7,-1.261274410109016e-16,-5.13616679635958e-19
0,72,202,232,0.0004113155334795908,2.0957125398669503e-7,-2.6617004515841524e-16,-5.128704045623923e-19
0,72,204,232,0.0007137292828422227,2.357729067676043e-8,-2.548025453689073e-16,-5.125401664248723e-19
0,72,206,232,0.001194613551363755,-3.14418131063621e-7,-1.0387503845358387e-16,-5.131775273740161e-19
0,72,208,232,0.0019275797475901575,-6.049853302895599e-7,8.916461725861843e-17,-5.157405899935697e-19
0,72,210,232,0.0029970715970895553,-5.684005137966045e-7,2.0436872138172857e-16,-5.218111616945518e-19
0,72,212,232,0.0044888635783950515,-5.1790350597631046e-8,1.7101934018243226e-16,-5.3384283142173265e-19
70,98,118,206,0.007000663865021212,2.4452446637112424e-6,-6.141132027992273e-8,-1.1314573746435772e-15
70,98,120,206,0.005633815331121674,1.9901441097564775e-6,-5.5436975251746143e-8,-1.1045570342981572e-15
70,98,122,206,0.004649331606414664,1.7133766327951443e-6,-4.773969666095123e-8,-1.0908335905344294e-15
70,98,124,206,0.0038921196497642184,1.5744491561604796e-6,-3.7443065366125436e-8,-1.084848079155153e-15
70,98,126,206,0.003368988360905066,1.6052667664748978e-6,-1.5506957279320798e-8,-1.0831237227337985e-15
70,98,128,206,0.0029509651160284766,1.566721662749744e-6,-1.0063418615345067e-8,-1.083562105504182e-15
70,98,130,206,0.002757106156899306,1.584858562305889e-6,-1.1356914468357332e-8,-1.0849552454699862e-15
70,98,132,206,0.0024827303441083757,1.4136262915156204e-6,-6.326020504767043e-9,-1.0866426825975641e-15
70,98,134,206,0.002323819841295697,1.3710223877013224e-6,-8.509801106762872e-9,-1.0882883471559005e-15
70,98,136,206,0.0021863270915073335,1.308837578462607e-6,-2.572903297301204e-9,-1.0897411262751876e-15
70,98,138,206,0.002100282604448114,1.2488844023151701e-6,2.3359122567435216e-9,-1.0909506289913753e-15
70,98,140,206,0.0019959274179078825,1.2568206065637358e-6,1.235162615861004e-8,-1.0919176023778226e-15
70,98,142,206,0.001992695652824212,1.23713769333579e-6,7.559695116144048e-9,-1.0926656108197579e-15
70,98,144,206,0.0019244153560407347,1.2045161115037239e-6,1.1927603294974263e-8,-1.093225473826049e-15
70,98,146,206,0.0019146432608355389,1.195318424480549e-6,1.5117211737464087e-8,-1.0936271017241911e-15
70,98,148,206,0.001883762939727441,1.2079535165837963e-6,1.4502181068145284e-8,-1.0938955183756097e-15
70,98,150,206,0.0018880616753886787,1.2294889936576542e-6,8.831838476685053e-9,-1.0940491331759724e-15
70,98,152,206,0.0018342628199112597,1.1652823357502894e-6,6.768335678092751e-9,-1.0940990958898717e-15
70,98,154,206,0.0018657926258335413,1.2098107428353596e-6,1.553585162841356e-8,-1.0940491329336298e-15
70,98,156,206,0.0018633234381992896,1.1826122838723271e-6,1.2729847302706556e-8,-1.0938955182512035e-15
70,98,158,206,0.0019004698713310558,1.1615961407648521e-6,1.1129321291449366e-8,-1.093627100816235e-15
70,98,160,206,0.0019164091937485031,1.1913139041357482e-6,8.199547577767028e-9,-1.093225473469814e-15
70,98,162,206,0.0019998117682925045,1.229312891779235e-6,6.988116661174205e-9,-1.0926656094901356e-15
70,98,164,206,0.002021606962323408,1.2717919005070522e-6,1.0766125342303599e-8,-1.0919175991862305e-15
70,98,166,206,0.0020539078044928445,1.2693342102060023e-6,9.47163187782575e-9,-1.0909506261023126e-15
70,98,168,206,0.002182864252398229,1.3329184052663185e-6,-7.9261010649294e-10,-1.0897411212224443e-15
70,98,170,206,0.002229013878015255,1.3642019628520825e-6,-2.3331828659195025e-9,-1.0882883400374195e-15
70,98,172,206,0.002391909868981483,1.4122075063794853e-6,-2.578806000299185e-9,-1.0866426716018759e-15
70,98,174,206,0.002589904808254475,1.488712828784279e-6,-3.6417319610534592e-9,-1.0849552229167959e-15
70,98,176,206,0.0028316211918222706,1.522543377505114e-6,-1.2232169702189232e-8,-1.0835620949689357e-15
70,98,178,206,0.0032283323292496475,1.5624257583754415e-6,-2.058422627661091e-8,-1.083123697891112e-15
70,98,180,206,0.003719982355630782,1.6203002890389073e-6,-3.05448970996082e-8,-1.0848480391099476e-15
70,98,182,206,0.004430372402505328,1.7898267442965653e-6,-2.81590503913558e-8,-1.0908335353873137e-15
70,98,184,206,0.005347169606798971,2.048011720320374e-6,-4.6475509598426545e-8,-1.1045569997462521e-15
70,98,186,206,0.0066361251351536015,2.4900553919999814e-6,-5.678755261836601e-8,-1.131457347446129e-15
75,89,109,216,0.0064038863261864,1.9300972520163343e-6,-9.454691059486173e-8,-6.900400640511748e-17
75,89,111,216,0.0050732694525519526,1.6628170578248489e-6,-6.245295978978365e-8,-6.736408816709662e-17
75,89,113,216,0.004100311503785478,1.4425725283092867e-6,-2.801573257220748e-8,-6.652755131463525e-17
75,89,115,216,0.0034627455773551252,1.4991122710546736e-6,-9.633997456532396e-9,-6.616283869716443e-17
75,89,117,216,0.002987357212015375,1.4610316394236496e-6,1.8949886506237557e-9,-6.605793544508545e-17
75,89,119,216,0.0026475800831704316,1.409072086882474e-6,-2.8187094815807908e-9,-6.608494423625378e-17
75,89,121,216,0.002380092050131494,1.3241759019977109e-6,4.563536296624795e-10,-6.617019977743563e-17
75,89,123,216,0.0022247958482241393,1.259803846725382e-6,-1.1350409013964616e-8,-6.627346738325085e-17
75,89,125,216,0.0020728316823149413,1.2133003485804766e-6,-1.4137264706743613e-8,-6.637429976934292e-17
75,89,127,216,0.0019739903985815533,1.1765013181061336e-6,-2.97034017838704e-9,-6.64635256740678e-17
75,89,129,216,0.0018956262631513534,1.126843414243275e-6,-3.3760776976381246e-9,-6.65381481186676e-17
75,89,131,216,0.0018344962511234767,1.1110638298871095e-6,1.5616945613031902e-9,-6.659829704804783e-17
75,89,133,216,0.0017406848217560752,1.0816852026202255e-6,7.497879841173984e-9,-6.664554529444424e-17
75,89,135,216,0.0016939229965488038,1.0603539365554169e-6,6.576846462533925e-9,-6.668194473106503e-17
75,89,137,216,0.0016468663649700024,1.03588473376455e-6,1.2646917602362753e-8,-6.670955530259097e-17
75,89,139,216,0.0016380052279097485,1.0390866816251063e-6,1.0032318228967864e-8,-6.673021783485298e-17
75,89,141,216,0.0015850350967991434,1.0108541744768075e-6,6.113974673147998e-9,-6.674548033174371e-17
75,89,143,216,0.0015495301832735874,1.012634279304103e-6,7.434572987372935e-9,-6.67565836288045e-17
75,89,145,216,0.0015567210769846715,9.97484037548457e-7,8.820702821471347e-9,-6.676448923302561e-17
75,89,147,216,0.0015350059192741111,9.839320353474695e-7,4.918474768960693e-9,-6.676991400626712e-17
75,89,149,216,0.001533590039936572,9.744238387965134e-7,7.727007866315413e-9,-6.677336758387547e-17
75,89,151,216,0.001541461436690989,9.958984941601167e-7,4.667387566232736e-9,-6.677518288908309e-17
75,89,153,216,0.0015458144647425833,1.00169942658174e-6,2.0366927969054224e-8,-6.677553700316462e-17
75,89,155,216,0.0015304349509202627,9.775389312413066e-7,1.4944983819212015e-8,-6.677446531232539e-17
75,89,157,216,0.00153186984928179,9.951950033287428e-7,1.4455242434536886e-8,-6.677186242050654e-17
75,89,159,216,0.0015208807144519018,9.906893168822523e-7,1.5853656706838566e-8,-6.676747523467565e-17
